code,color,descript,stdcost,price,division,category,season,user4,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,sku,cost,grp,warehouse,memo,qty1,qty2,qty3,qty4,qty5,qty6,qty7,qty8,qty9,qty10,qty11,qty12,onhand,onorder,wip,pick,alloc,available,is_actual,active,ats1,ats2,ats3,ats4,ats5,ats6,ats7,ats8,ats9,ats10,ats11,ats12,nowip_ats1,nowip_ats2,nowip_ats3,nowip_ats4,nowip_ats5,nowip_ats6,nowip_ats7,nowip_ats8,nowip_ats9,nowip_ats10,nowip_ats11,nowip_ats12,nowip_total,descript
0557,BLK,2pcs WASHABLE,,39.0000,M1,SUIT,ALL,N,,,,,,,,,,,,,,10,12,14,16,18,,,,,,,,0,GIO,00,,0,1,0,0,3,1,0,0,0,0,0,0,5,0,0,0,0,5.0000,,1,0,1.0000,0,0,3.0000,1.0000,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,5,BLACK
0557,RED,2pcs WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0000,,1,0,1.0000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,RED
0557W,BLK,2 PC SET,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3.0000,,1,0,0,2.0000,1.0000,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,BLACK
0650,BLK,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,11,10,8,0,0,0,0,0,0,0,0,29,2,0,2.0000,0,27.0000,,1,0,11.0000,9.0000,7.0000,0,0,0,0,0,0,0,0,0,11,9,7,0,0,0,0,0,0,0,0,27,BLACK
0650,CHOCO,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,8,8,23,23,23,27,0,0,0,0,0,112,0,0,0,0,112.0000,,1,0,8.0000,8.0000,23.0000,23.0000,23.0000,27.0000,0,0,0,0,0,0,8,8,23,23,23,27,0,0,0,0,0,112,CHOCOLATE
0650,RYL,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4.0000,,1,3.0000,1.0000,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,ROYAL
0650,SIL,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,5,8,9,7,14,17,0,0,0,0,0,60,0,0,0,0,60.0000,,1,0,5.0000,8.0000,9.0000,7.0000,14.0000,17.0000,0,0,0,0,0,0,5,8,9,7,14,17,0,0,0,0,0,60,SILVER
0650,WHT,3 PC SET Washable,,42.0000,M7,SUIT,ALL,N,,,,,,,,,,,,,6,8,10,12,14,16,18,,,,,,,0,GIO,00,,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,8.0000,,1,0,0,0,0,0,0,8.0000,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,WHITE
0650W,BLK,3 PC SET,,42.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,0,0,0,0,13,15,5,8,0,41,0,0,0,0,41.0000,,1,0,0,0,0,0,0,0,13.0000,15.0000,5.0000,8.0000,0,0,0,0,0,0,0,0,13,15,5,8,0,41,BLACK
0650W,CHOCO,3 PC SET,,42.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,13,15,20,17,20,17,13,0,0,0,115,0,0,0,0,115.0000,,1,0,0,13.0000,15.0000,20.0000,17.0000,20.0000,17.0000,13.0000,0,0,0,0,0,13,15,20,17,20,17,13,0,0,0,115,CHOCOLATE
0650W,RYL,3 PC SET,,42.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,1,0,1,12,24,24,5,4,0,71,0,0,0,0,71.0000,,1,0,0,0,1.0000,0,1.0000,12.0000,24.0000,24.0000,5.0000,4.0000,0,0,0,0,1,0,1,12,24,24,5,4,0,71,ROYAL
